name,city
Art: 1 New Museum,Jakarta Pusat
Bayt Al-Qur’an dan Museum Istiqlal,Jakarta Timur
Galeri Foto Jurnalistik Antara,Jakarta Pusat
Galeri Nasional Indonesia,Jakarta Pusat
Monumen Nasional,Jakarta Pusat
Monumen Pancasila Sakti,Jakarta Timur
Museum Alkitab,Jakarta Pusat
Museum Al-Qur’an,Jakarta Selatan
Museum Anatomi Universitas Katolik (Unika) Atmajaya,Jakarta Utara
Museum Asmat,Jakarta Timur
Museum Bahari,Jakarta Utara
Museum Bank Indonesia,Jakarta Barat
Museum Bank Tabungan Negara,Jakarta Pusat
Museum Basoeki Abdullah,Jakarta Selatan
Museum Benda-Benda Alkitab Yerushalayim,Jakarta Utara
Museum BNI 1946,Jakarta Barat
Museum Ciputra Artpreneur,Jakarta Selatan
Museum Dharma Bhakti Kostrad,Jakarta Pusat
Museum di Tengah Kebun,Jakarta Selatan
Museum DPR RI,Jakarta Pusat
Museum Fauna Indonesia “Komodo” dan Taman Reptilia,Jakarta Timur
Museum of Health and Medicine,Jakarta Pusat
Museum Graha Widya Patra (Minyak dan Gas Bumi),Jakarta Timur
Museum Hakka Indonesia,Jakarta Timur
Museum Harry Darsono,Jakarta Selatan
Museum Indonesia,Jakarta Timur
Museum Jenderal Besar Dr. A.H. Nasution,Jakarta Pusat
Museum Joang ‘45,Jakarta Pusat
Museum Katedral,Jakarta Pusat
Museum Kebangkitan Nasional,Jakarta Pusat
Museum Kehutanan “Ir. Djamaludin Suryohadikusumo”,Jakarta Pusat
Museum Keprajuritan,Jakarta Timur
Museum Korps Marinir Jakarta,Jakarta Pusat
Museum Layang-layang,Jakarta Selatan
Museum Listrik dan Energi Baru,Jakarta Timur
Museum MACAN (Modern and Contemporary Art in Nusantara),Jakarta Barat
Museum Mandiri,Jakarta Barat
Museum MH. Thamrin,Jakarta Pusat
Museum Nasional Indonesia,Jakarta Pusat
Museum Olahraga Nasional,Jakarta Timur
Museum Pemadam Kebakaran,Jakarta Timur
Museum Penerangan,Jakarta Timur
Museum Perumusan Naskah Proklamasi,Jakarta Pusat
Museum POLRI,Jakarta Selatan
Museum Prangko,Jakarta Timur
Museum Prasasti,Jakarta Timur
Museum Purna Bhakti Pertiwi,Jakarta Timur
Museum Pusaka,Jakarta Timur
Museum Santa Maria Juanda,Jakarta Pusat
Museum Sasmitaloka Pahlawan Revolusi Jenderal TNI A. Yani,Jakarta Pusat
Museum Satriamandala,Jakarta Selatan
Museum Sejarah Jakarta,Jakarta Barat
Museum Seni Rupa dan Keramik,Jakarta Barat
Museum Serangga,Jakarta Timur
Museum Sumpah Pemuda,Jakarta Pusat
Museum Tekstil,Jakarta Barat
Museum Timor Timur,Jakarta Timur
Museum Tragedi 12 Mei ’98 Universitas Trisakti,Jakarta Barat
Museum Transportasi,Jakarta Timur
Museum Wayang,Jakarta Barat
Pusat Peragaan IPTEK,Jakarta Timur
