name,address,phone_number,email,website,facebook,twitter,instagram,longitude,latitude,other_ticket_category,other_ticket_price,other_ticket_name
Monumen Nasional,"Jl. Tugu Monas, Gambir, Jakarta Pusat, DKI Jakarta",(021) 3504333,mtugumonas@yahoo.co.id,,,,,106.827151981719,-6.17539354823125,"Dewasa, Anak - Anak","7500, 3500",Pelataran Puncak
Monumen Pancasila Sakti,"Jl. Raya Pondok Gede RT.4/RW.12, Lubang Buaya, Cipayung, Jakarta Timur",(021) 8411381,pusjarahtni@gmail.com,http://sejarah-tni.mil.id/2017/03/18/mps/,,,,106.908596470792,-6.29031711936196,"Dewasa, Anak - Anak","3000, 2000",Rombongan (Min. 40 Orang)
Museum Basoeki Abdullah,"Jl. Keuangan Raya No. 19 Cilandak Barat, Jakarta Selatan",(021) 7698926,basoeki.abdullah@gmail.com,http://museumbasoekiabdullah.or.id/en/,museumbasoekiabdullah,Mus_BA,musbadul,106.79325736891,-6.28977783119394,"Dewasa, Anak - Anak, Wisatawan Mancanegara","1000, 500, 10000",Rombongan
Museum Joang ‘45,"Jl. Menteng Raya No.31, RT.01/RW.10 Kebon Sirih, Menteng, Jakarta Pusat",(021) 3909148,museumjoangjakarta@yahoo.com,,Musejak,,museumkesejarahan,106.836435641482,-6.18619503508512,"Dewasa, Mahasiswa, Pelajar","3750, 2250, 1500",Rombongan
Museum MH. Thamrin,"Jl. Kenari 2 No.15, RW.4, Kenari, Senen, Jakarta Pusat","(021) 3903387, (021) 3909148",Museumthamrin1@gmail.com,,,,sahabat_thamrin11,106.845361534268,-6.19355188326362,"Anak - Anak, Pelajar, Mahasiswa, Dewasa","1500, 1500, 2250, 3750",Rombongan
Museum Olahraga Nasional,"Taman Mini Indonesia Indah, Jl. Raya Taman Mini, Jakarta Timur",(021) 8401685,mornas_kemenpora@yahoo.com,https://museumor.kemenpora.go.id/,museumolahraga,museum_olahraga,museum_olahraga_nasional,106.889043716397,-6.3042946731385,"Dewasa, Umum, Pelajar, Mahasiswa","4000, 4000, 2000, 2000",Rombongan (min. 10 Orang)
Museum Perumusan Naskah Proklamasi,"Jl. Imam Bonjol No. 1, Menteng, Jakarta Pusat",(021) 3144743,munasprok@kemdikbud.go.id,,munasprok,MuseumNasProk,munasprok,106.831007610052,-6.20037495844248,"Dewasa, Anak - Anak (TK - SMP), Wisatawan Mancanegara","1000, 500, 10000",Rombongan (min. 20 Orang)
Museum Prangko,"Taman Mini Indonesia Indah, Jl. Raya Taman Mini, Jakarta Timur",(021) 84901310,,https://www.tamanmini.com/pesona_indonesia/museum-museum/museum-prangko-indonesia,,,,106.901771712265,-6.30418456771596,Dapat Potongan 10%,4500,Rombongan
Museum Prasasti,"Taman Mini Indonesia Indah, Jl. Raya Taman Mini, Jakarta Timur",(021) 3854060,museumtamanprasasti@gmail.com,,,MuseumPrasasti,museumkesejarahan,106.818969026294,-6.17222481141279,"Dewasa, Mahasiswa, Pelajar","3750, 2250, 1500",Rombongan
Museum Seni Rupa dan Keramik,Jl. Pos Kota No. 2 Jakarta Barat,(021) 6907062,"museum_seni@yahoo.co.id, museumsenirupa_k@yahoo.co.id",https://dinaskebudayaan.jakarta.go.id/museum-seni-rupa-dan-keramik,,museum_keramik,museum_keramikjkt,106.814692926147,-6.13421820441045,"Dewasa, Umum, Mahasiswa, Pelajar, Anak - Anak","3750, 3750, 2250, 1500, 1500",Rombongan
Museum Sumpah Pemuda,"Jl. Kramat Raya No. 106, Jakarta Pusat","(021) 3103217, (021) 3154546",museumsumpahpemuda@kemdikbud.go.id,http://museumsumpahpemuda.kemdikbud.go.id/,museumsumpahpemuda,M_SumpahPemuda,museumsumpahpemuda,106.843107171156,-6.18379952050197,"Dewasa, Anak - Anak, Wisatawan Mancanegara","1000, 500, 10000",Rombongan
Museum Tekstil,Jl. K.S Tubun No.2-4 Jakarta Barat,(021) 5606613,"museum_seni@yahoo.co.id,  museum_tekstil@yahoo.co.id",,,UP_museum_seni,museum_tekstiljkt,106.809607366134,-6.18796452926196,"Dewasa, Umum, Mahasiswa, Pelajar, Anak - Anak","3750, 3750, 2250, 1500, 1500",Rombongan
