name,public_transportation,distance_to_museum
Art: 1 New Museum,Bandara Halim Perdanakusuma,26.9
Art: 1 New Museum,Stasiun Rajawali,0.75
Art: 1 New Museum,Stasiun Sawah Besar,3.2
Art: 1 New Museum,Stasiun Kemayoran,4.4
Art: 1 New Museum,Terminal Senen,5.7
Bayt Al-Qur’an dan Museum Istiqlal,Bandara Soekarno - Hatta,45
Bayt Al-Qur’an dan Museum Istiqlal,Bandara Halim Perdanakusuma,10
Bayt Al-Qur’an dan Museum Istiqlal,Stasiun Pasar Senen,20.4
Bayt Al-Qur’an dan Museum Istiqlal,Stasiun Gambir,22.6
Bayt Al-Qur’an dan Museum Istiqlal,Terminal Rawamangun,13
Bayt Al-Qur’an dan Museum Istiqlal,Terminal Kampung Rambutan,4.3
Galeri Foto Jurnalistik Antara,Bandara Soekarno - Hatta,29
Galeri Foto Jurnalistik Antara,Bandara Halim Perdanakusuma,14
Galeri Foto Jurnalistik Antara,Stasiun Gambir,1
Galeri Foto Jurnalistik Antara,Stasiun Pasar Senen,3
Galeri Foto Jurnalistik Antara,Terminal Pasar Senen,3
Galeri Nasional Indonesia,Bandara Soekarno - Hatta,28.6
Galeri Nasional Indonesia,Bandara Halim Perdanakusuma,20.4
Galeri Nasional Indonesia,Terminal Kampung Rambutan,22.7
Galeri Nasional Indonesia,Terminal Rawamangun,13.3
Monumen Nasional,Stasiun Gambir,0.85
Monumen Nasional,Stasiun Pasar Senen,3
Monumen Nasional,Terminal Tanah Abang,4
Monumen Nasional,Terminal Manggarai,4
Monumen Nasional,Bandara Halim Perdanakusuma,16
Monumen Nasional,Bandara Soekarno - Hatta,30
Monumen Pancasila Sakti,Bandara Halim Perdanakusuma,11
Monumen Pancasila Sakti,Bandara Soekarno - Hatta,53
Monumen Pancasila Sakti,Stasiun Gambir,23
Monumen Pancasila Sakti,Stasiun Pasar Senen,23
Monumen Pancasila Sakti,Terminal Senen,23
Monumen Pancasila Sakti,Terminal Tanah Abang,23
Museum Alkitab,Bandara Soekarno - Hatta,39.8
Museum Alkitab,Bandara Halim Perdanakusuma,9.2
