name,phone_number,email,website,facebook,twitter,instagram,description
Art: 1 New Museum,(021) 64700168,info@mondecor.com,,art1newmuseumjkt,art1_newmuseum,art1newmuseum,"Art: 1 New Museum merupakan museum khusus yang awalnya berupa galeri seni pribadi bernama Mon Décor. Galeri seni ini didirikan oleh Martha Gunawan pada 1983, kemudian berganti nama menjadi Art:1 New Museum pada tahun 2009, dan diresmikan pada tahun 2011 oleh Gubernur Daerah Khusus Ibukota (DKI) Jakarta, Fauzi Bowo. Art:1 New Museum tidak hanya berupa museum namun juga berupa art space, sekaligus institusi seni. Museum berada di bawah kepemilikan dan pengelolaan Mon Décor Gallery."
Bayt Al-Qur’an dan Museum Istiqlal,(021) 8416466,bqmi@kemenag.go.id,https://bqmi.kemenag.go.id,bqmitmii,bqmitmii,bqmitmii,"Museum Bayt Al-Qur’an dan Museum Istiqlal merupakan museum khusus yang pendiriannya diprakarsai oleh Dr. H. Tarmizi Taher pada tahun 1994 ketika beliau menjabat sebagai Menteri Agama. Pada mulanya dibutuhkan tempat untuk menyimpan Al-Qur’an besar hadiah dari Pondok Pesantren dan Mushaf (Al-Qur’an) Istiqlal yang ditulis dengan ragam hias 27 Provinsi di Indonesia. Atas dasar tersebut maka dibangunlah Bayt Al-Qur’an (Rumah Al-Qur’an) sebagai tempat menyimpan, memelihara, dan memamerkan mushaf Al-Qur’an dari berbagai macam bentuk dan jenis di seluruh penjuru Nusantara."
Galeri Foto Jurnalistik Antara,(021) 3458771,info@gfja.org,,Museum.Galeri.Antara,,gfja,"Gedung Galeri Foto Jurnalistik Antara merupakan kantor berita swasta milik Dominique Willem Berretty, seorang berkebangsaan Belanda. Kantor berita tersebut bernama Algemeen Niewsen Telegraaf Agentschap (ANETA). Kantor berita tersebut sangat eksis sampai Jepang berkuasa atas Indonesia pada tahun 1942. Masa pendudukan Jepang, ANETA dinasionalisasi menjadi milik Jepang. ANETA pun beralih nama menjadi YASHIMA (DOMEI). Pasca kekalahan Jepang dari sekutu pada Perang Dunia II, tepatnya pada 17 Agustus 1945, berkumandanglah Proklamasi Kemerdekaan Republik Indonesia di Jakarta."
Galeri Nasional Indonesia,(021) 3813021,galeri.nasional@kemdikbud.go.id,"http://galeri-nasional.or.id, http://kebudayaan.kemdikbud.go.id/galerinasional/",galnas,galerinasional_,galerinasional,"Galeri Nasional Indonesia telah dirintis sejak tahun 1960-an sebagai salah satu wujud pembangunan Wisma Nasional / Pusat Pembangunan Kebudayaan Nasional. Dalam perjalanan pembangunannya, Prof. Dr. Fuad Hasan memprakarsai renovasi gedung utama menjadi Gedung Pameran Seni Rupa Departemen Pendidikan dan Kebudayaan sebagai sarana aktivitas dan apresiasi seni rupa yang diresmikan pada tahun 1987. Pada tahun 1995 Prof. Edi Sedyawati memprakarsai pendirian Galeri Nasional dan baru pada tahun 1998 disetujui oleh Menteri Koordinator Pengawasan Pembangunan dan Pendayagunaan Aparatur Negara. Pada tahun 1999, Galeri Nasional diresmikan oleh Yuwono Sudharsono."
Monumen Nasional,(021) 3504333,mtugumonas@yahoo.co.id,,,,,"Monumen Nasional dibangun pada masa pemerintahan Presiden Soekarno, mulai 17 Agustus 1961 dan resmi dibuka untuk umum pada 12 Juli 1975. Desain Monumen Nasional dibuat oleh arsitek R. M. Soedarsono berdasarkan konsep yang diinginkan Presiden Soekarno. Monumen ini menjadi pusat dari Lapangan Merdeka karena letaknya yang berada tepat di bagian tengah. Monumen Nasional berbentuk obelisk dengan obor api yang memiliki tinggi keseluruhan 132 m."
Monumen Pancasila Sakti,(021) 8411381,pusjarahtni@gmail.com,http://sejarah-tni.mil.id/2017/03/18/mps/,,,,"Monumen Pancasila Sakti merupakan museum khusus yang berada di bawah kepemilikan TNI dan dikelola oleh Pusat Sejarah TNI. Perjuangan Angkatan Bersenjata Republik Indonesia (ABRI), khususnya Tentara NasionaI Indonesia Angkatan Darat (TNI-AD) dalam mempertahankan Pancasila sebagai ideologi negara dan bangsa, menjadikan Partai Komunis Indonesia (PKI) semakin memusuhi TNI-AD. Akhirnya PKI melakukan penculikan dan pembunuhan terhadap beberapa Perwira Tinggi TNI-AD dalam peristiwa G30S/PKI pada tanggal 1 Oktober 1965. Perwira-perwira tersebut dibunuh, kemudian jenazahnya dikubur dalam sebuah sumur di Desa Lubang Buaya, Jakarta Timur."
Museum Alkitab,(021) 3142890,"info@alkitab.or.id, irin@alkitab.or.id",https://www.alkitab.or.id,LembagaAlkitabIndonesia,,lembagaalkitabindonesia,"Museum Alkitab merupakan museum khusus yang didirikan pada 25 Juli 2002 oleh pengurus Yayasan Lembaga Alkitab Indonesia (LAI). Pada awalnya museum ini bernama Perpustakaan dan Museum Biblika yang menjelaskan mengenai sejarah penulisan dan penerjemahan Alkitab dan benda-benda budaya Zaman Alkitab. Saat didirikannya pada tahun 2002, museum ini berlokasi di Bogor, baru pada tahun 2012 museum berpindah dan menempati ruangan di Gedung LAI di Jakarta. Tujuan pendirian museum ini adalah membantu umat Kristiani dan masyarakat umum yang membutuhkan informasi di bidang biblika atau kealkitaban."
Museum Al-Qur’an,(021) 7690901,,https://ptiq.ac.id/,,,,"Museum Al-Qur’an merupakan museum khusus yang berdiri sejak tahun 1969, berawal dari koleksi pribadi pengurus Yayasan Pendidikan Al-Qur’an di Kebayoran Baru. Seiring waktu koleksi tersebut berpindah ke Lebak Bulus dan pengelolaan diberikan kepada Perguruan Tinggi Ilmu Al-Qur’an (PTIQ). Museum Al-Qur’an didirikan pada Sabtu, 24 Juli 1971 Masehi bertepatan dengan 29 Rajab 1391 Hijriyah."
Museum Anatomi Universitas Katolik (Unika) Atmajaya,(021) 6694366,museumanatomiatmajaya@gmail.com,https://museum-anatomi-fk-unika-atma-jaya.business.site/,,,museumanatomiuaj,"Museum Anatomi Universitas Katolik (Unika) Atmajaya merupakan museum khusus yang diresmikan pada 5 Juni 1995 oleh Ketua Yayasan Atma Jaya, Prof. Dr. H. E. Harimurti Kridalaksana bersamaan dengan Lustrum ke-35 Unika Atma Jaya dan diberkati oleh Romo F.X. Krismanto. Berdirinya Museum Anatomi Universitas Katolik (Unika) Atmajaya diprakarsai oleh dr. Liliana Sugiharto, MS. PAK (K), beliau belajar dari Museum Anatomi Katholieke Universiteit Nijmegen (KUN) di bawah supervisi Dr.L.M.G. Geeraedts. Pada tahun 2014, Museum Anatomi Unika Atmajaya mengalami renovasi dan diberkati oleh Ketua Dewan Pembina Yayasan Atma Jaya sekaligus Uskup Agung Jakarta, Mgr. Ignatius Suharyo."
Museum Asmat,(021) 87792987,museum.asmat@tamanmini.com,https://www.tamanmini.com/pesona_indonesia/museum-museum/museum-asmat,,,,"Museum Asmat merupakan museum khusus yang pendiriannya digagas oleh Ibu Tien Soeharto. Saat mengunjungi Pameran Produksi Indonesia pada bulan Agustus 1985, Ibu Tien Soeharto kagum akan seni kerajinan Asmat. Kekaguman tersebut memunculkan ide untuk mengabadikan seni kerajinan Asmat di dalam bangunan museum. Pada akhir bulan Februari 1986 dimulailah pembangunan Museum Asmat dengan waktu pengerjaan 51 hari. Museum Asmat resmi dibuka pada 20 April 1986 oleh Presiden Republik Indonesia Ke-2, Soeharto. Bangunan museum berada di dekat danau yang dimaksudkan untuk mendekatkan imajinasi pengunjung bahwa wilayah Asmat dekat dengan perairan seperti lokasi aslinya yang dikelilingi laut dan sungai-sungai. Arsitektur museum mengambil ide dari Rumah Adat Kariwari dari Suku Tobati-Enggros untuk mewakili kebudayaan Papua."
