name,address
Art: 1 New Museum,"Jl. Rajawali Selatan Raya No 3, Jakarta Pusat"
Bayt Al-Qur’an dan Museum Istiqlal,Jl. Raya Taman Mini Indonesia Indah Pintu 1 Jakarta Timur
Galeri Foto Jurnalistik Antara,"Jl. Antara 59, Pasar Baru, Sawah Besar, Jakarta Pusat"
Galeri Nasional Indonesia,"Jl. Medan Merdeka Timur No. 14, Gambir, RT.6/RW.1, Gambir, Jakarta Pusat"
Monumen Nasional,"Jl. Tugu Monas, Gambir, Jakarta Pusat, DKI Jakarta"
Monumen Pancasila Sakti,"Jl. Raya Pondok Gede RT.4/RW.12, Lubang Buaya, Cipayung, Jakarta Timur"
Museum Alkitab,"Jl. Salemba Raya No.12, RT.2/RW.6, Kenari, Senen, Jakarta Pusat"
Museum Al-Qur’an,"Jl. Batan 1/2 Lebak Bulus, Cilandak, Jakarta Selatan"
Museum Anatomi Universitas Katolik (Unika) Atmajaya,"Gedung Klara Asisi Lantai 2, Fakultas Kedokteran Universitas Atma Jaya, Jl. Pluit Raya No. 2, Jakarta Utara"
Museum Asmat,"Taman Mini Indonesia Indah, Jl. Raya Taman Mini, Jakarta Timur"
Museum Bahari,"Jl. Ps. Ikan No.1, Penjaringan, Jakarta Utara"
Museum Bank Indonesia,"Jl. Pintu Besar Utara No.3, Pinangsia, Tamansari, Jakarta Barat"
Museum Bank Tabungan Negara,"Jl. Gajah Mada No.1, RT.2/RW.8, Petojo Utara, Gambir, Jakarta Pusat"
Museum Basoeki Abdullah,"Jl. Keuangan Raya No. 19 Cilandak Barat, Jakarta Selatan"
Museum Benda-Benda Alkitab Yerushalayim,"Jl. Raya Rawa Sengon No. 35 RT.001 / RW.022, Kelapa Gading Barat, Kelapa Gading, Kota Jakarta Utara, Daerah Khusus Ibukota Jakarta"
Museum BNI 1946,"Jl. Lada No.1, Kota Tua, Pinangsia, Tamansari, Jakarta Barat"
Museum Ciputra Artpreneur,"Jl. Prof. DR. Satrio Kav. 3-5, Ciputra World 1, Retail Podium Level 11-13, Kuningan, Jakarta Selatan"
Museum Dharma Bhakti Kostrad,"Jl. Merdeka Timur No.3, RT.2/RW.1, Gambir, Jakarta Pusat"
Museum di Tengah Kebun,"Jl. Kemang Timur Raya No.66, RT.7/RW.3, Bangka, Mampang Prapatan, Jakarta Selatan"
Museum DPR RI,"Gedung Nusantara Lantai 2 Komp. MPR, DPR, DPD RI Jl. Jenderal Gatot Subroto, Senayan, Jakarta Pusat"
Museum Fauna Indonesia “Komodo” dan Taman Reptilia,"Taman Mini Indonesia Indah, Jl. Raya Taman Mini, Jakarta Timur"
Museum of Health and Medicine,"Jl. Salemba Raya No. 6, Kenari, Senen, Jakarta Pusat"
Museum Graha Widya Patra (Minyak dan Gas Bumi),"Taman Mini Indonesia Indah, Jl. Raya Taman Mini, Jakarta Timur"
Museum Hakka Indonesia,"Taman Mini Indonesia Indah, Jl. Raya Taman Mini, Jakarta Timur"
Museum Harry Darsono,"Jl. Cilandak Tengah No.71, RT.2/RW.13, Cilandak Barat, Cilandak, Jakarta Selatan"
Museum Indonesia,"Taman Mini Indonesia Indah, Jl. Raya Taman Mini, Jakarta Timur"
Museum Jenderal Besar Dr. A.H. Nasution,"Jl. Teuku Umar No.40, RT.1/RW.1, Gondangdia, Menteng, Jakarta Pusat"
Museum Joang ‘45,"Jl. Menteng Raya No.31, RT.01/RW.10 Kebon Sirih, Menteng, Jakarta Pusat"
Museum Katedral,"Gereja Katedral, Jl. Katedral No.7B, Jakarta Pusat"
Museum Kebangkitan Nasional,"Jl. Abdul Rachman Saleh No.26 RT.4/RW. 5 Senen, Jakarta Pusat"
Museum Kehutanan “Ir. Djamaludin Suryohadikusumo”,"Kompleks Manggala Wanabakti, RT.01/03, Gelora, Tanahabang, Jakarta Pusat"
Museum Keprajuritan,"Taman Mini Indonesia Indah, Jl. Raya Taman Mini, Jakarta Timur"
Museum Korps Marinir Jakarta,"Jl. Kwini No. 6 Senin, Jakarta Pusat"
Museum Layang-layang,"Jl. H. Kamang No.38, RT.8/RW.10, Pondok Labu, Cilandak, Jakarta Selatan"
Museum Listrik dan Energi Baru,"Taman Mini Indonesia Indah, Jl. Raya Taman Mini, Jakarta Timur"
Museum MACAN (Modern and Contemporary Art in Nusantara),"AKR Tower Level M, Jl. Panjang No. 5 Kebon Jeruk, Jakarta Barat"
Museum Mandiri,Jl. Lapangan Stasiun No.1 Jakarta Barat
Museum MH. Thamrin,"Jl. Kenari 2 No.15, RW.4, Kenari, Senen, Jakarta Pusat"
Museum Nasional Indonesia,"Jl. Medan Merdeka Barat No. 12, Gambir, Jakarta Pusat"
Museum Olahraga Nasional,"Taman Mini Indonesia Indah, Jl. Raya Taman Mini, Jakarta Timur"
Museum Pemadam Kebakaran,"Taman Mini Indonesia Indah, Jl. Raya Taman Mini, Jakarta Timur"
Museum Penerangan,"Taman Mini Indonesia Indah, Jl. Raya Taman Mini, Jakarta Timur"
Museum Perumusan Naskah Proklamasi,"Jl. Imam Bonjol No. 1, Menteng, Jakarta Pusat"
Museum POLRI,"Jl. Trunojoyo 3, Kebayoran Baru, Jakarta Selatan"
Museum Prangko,"Taman Mini Indonesia Indah, Jl. Raya Taman Mini, Jakarta Timur"
Museum Prasasti,"Jl. Tanah Abang I No.1, RT.11/RW.8, Petojo Selatan,  Gambir, Jakarta Pusat"
Museum Purna Bhakti Pertiwi,"Taman Mini Indonesia Indah, Jl. Raya Taman Mini, Jakarta Timur"
Museum Pusaka,"Taman Mini Indonesia Indah, Jl. Raya Taman Mini, Jakarta Timur"
Museum Santa Maria Juanda,"Jl. Ir. H. Juanda No.29, RT.14/RW.4, Kel. Kebon Kelapa, Kec. Gambir, Jakarta Pusat"
Museum Sasmitaloka Pahlawan Revolusi Jenderal TNI A. Yani,"Jl. Lembang No.67, RT.11/Rw.7, Menteng, Jakarta Pusat"
Museum Satriamandala,"Jl. Gatot Subroto No.14, RT.6/RW.1, Kuningan Barat, Mampang Prapatan, Jakarta Selatan"
Museum Sejarah Jakarta,"Jl. Taman Fatahillah No.1, Kota Tua, Pinangsia, Tamansari, Jakarta Barat"
Museum Seni Rupa dan Keramik,Jl. Pos Kota No. 2 Jakarta Barat
Museum Serangga,"Taman Mini Indonesia Indah, Jl. Raya Taman Mini, Jakarta Timur"
Museum Sumpah Pemuda,"Jl. Kramat Raya No. 106, Jakarta Pusat"
Museum Tekstil,Jl. K.S Tubun No.2-4 Jakarta Barat
Museum Timor Timur,"Taman Mini Indonesia Indah, Jl. Raya Taman Mini, Jakarta Timur"
Museum Tragedi 12 Mei ’98 Universitas Trisakti,"Jl. Kyai Tapa No.1, RT.6/RW.16, Tomang, Grogol Petamburan, Kota Jakarta Barat, DKI Jakarta"
Museum Transportasi,"Taman Mini Indonesia Indah, Jl. Raya Taman Mini, Jakarta Timur"
Museum Wayang,Jl. Pintu Besar Utara No.27 Jakarta Barat
Pusat Peragaan IPTEK,"Taman Mini Indonesia Indah, Jl. Raya Taman Mini, Jakarta Timur"
