name,schedule_name_3,open_3,closed_3,schedule_3
Art: 1 New Museum,,,,nan
Bayt Al-Qur’an dan Museum Istiqlal,,,,nan
Galeri Foto Jurnalistik Antara,,,,nan
Galeri Nasional Indonesia,,,,nan
Monumen Nasional,Area Taman Monas,07:00,00:00,Selasa
Monumen Nasional,Area Taman Monas,07:00,00:00,Rabu
Monumen Nasional,Area Taman Monas,07:00,00:00,Kamis
Monumen Nasional,Area Taman Monas,07:00,00:00,Jumat
Monumen Nasional,Area Taman Monas,07:00,00:00,Sabtu
Monumen Nasional,Area Taman Monas,07:00,00:00,Minggu
Monumen Pancasila Sakti,,,,nan
Museum Alkitab,,,,nan
Museum Al-Qur’an,,,,nan
Museum Anatomi Universitas Katolik (Unika) Atmajaya,,,,nan
Museum Asmat,,,,nan
Museum Bahari,,,,nan
Museum Bank Indonesia,,,,nan
Museum Bank Tabungan Negara,,,,nan
Museum Basoeki Abdullah,,,,nan
Museum Benda-Benda Alkitab Yerushalayim,,,,nan
Museum BNI 1946,,,,nan
Museum Ciputra Artpreneur,,,,nan
Museum Dharma Bhakti Kostrad,,,,nan
Museum di Tengah Kebun,,,,nan
Museum DPR RI,,,,nan
Museum Fauna Indonesia “Komodo” dan Taman Reptilia,,,,nan
Museum of Health and Medicine,,,,nan
Museum Graha Widya Patra (Minyak dan Gas Bumi),,,,nan
Museum Hakka Indonesia,,,,nan
Museum Harry Darsono,,,,nan
Museum Indonesia,,,,nan
Museum Jenderal Besar Dr. A.H. Nasution,,,,nan
Museum Joang ‘45,,,,nan
Museum Katedral,,,,nan
Museum Kebangkitan Nasional,,,,nan
Museum Kehutanan “Ir. Djamaludin Suryohadikusumo”,,,,nan
Museum Keprajuritan,,,,nan
Museum Korps Marinir Jakarta,,,,nan
Museum Layang-layang,,,,nan
Museum Listrik dan Energi Baru,,,,nan
Museum MACAN (Modern and Contemporary Art in Nusantara),,,,nan
Museum Mandiri,,,,nan
Museum MH. Thamrin,,,,nan
Museum Nasional Indonesia,,,,nan
Museum Olahraga Nasional,,,,nan
Museum Pemadam Kebakaran,,,,nan
Museum Penerangan,,,,nan
Museum Perumusan Naskah Proklamasi,,,,nan
Museum POLRI,,,,nan
Museum Prangko,,,,nan
Museum Prasasti,,,,nan
Museum Purna Bhakti Pertiwi,,,,nan
Museum Pusaka,,,,nan
Museum Santa Maria Juanda,,,,nan
Museum Sasmitaloka Pahlawan Revolusi Jenderal TNI A. Yani,,,,nan
Museum Satriamandala,,,,nan
Museum Sejarah Jakarta,,,,nan
Museum Seni Rupa dan Keramik,,,,nan
Museum Serangga,,,,nan
Museum Sumpah Pemuda,,,,nan
Museum Tekstil,,,,nan
Museum Timor Timur,,,,nan
Museum Tragedi 12 Mei ’98 Universitas Trisakti,,,,nan
Museum Transportasi,,,,nan
Museum Wayang,,,,nan
Pusat Peragaan IPTEK,,09:00,16:30,Sabtu
Pusat Peragaan IPTEK,,09:00,16:30,Minggu
