name,ticket_1,ticket_price_1
Art: 1 New Museum,Wisatawan Mancanegara,125000
Art: 1 New Museum,Umum,100000
Art: 1 New Museum,Pelajar,75000
Art: 1 New Museum,Anak - Anak,0
Bayt Al-Qur'an dan Museum Istiqlal,Umum,0
Galeri Foto Jurnalistik Antara,Umum,0
Galeri Nasional Indonesia,Umum,0
Monumen Nasional,Dewasa,20000
Monumen Nasional,Anak - Anak,10000
Monumen Pancasila Sakti,Dewasa,4000
Monumen Pancasila Sakti,Anak - Anak,2500
Monumen Pancasila Sakti,Pelajar,2500
Museum Alkitab,Umum,5000
Museum Al-Qur'an,Umum,0
Museum Anatomi Universitas Katolik (Unika) Atmajaya,Umum,0
Museum Asmat,Umum,10000
Museum Bahari,Dewasa,2000
Museum Bahari,Anak - Anak,1000
Museum Bank Indonesia,Umum,5000
Museum Bank Tabungan Negara,Umum,0
Museum Basoeki Abdullah,Dewasa,2000
Museum Basoeki Abdullah,Anak - Anak,1000
Museum Benda-Benda Alkitab Yerushalayim,Umum,0
Museum BNI 1946,Umum,0
Museum Ciputra Artpreneur,Dewasa,30000
Museum Ciputra Artpreneur,Pelajar,15000
Museum Dharma Bhakti Kostrad,Umum,0
Museum di Tengah Kebun,Rombongan,0
Museum di Tengah Kebun,Reservasi,0
Museum DPR RI,Umum,0
Museum Fauna Indonesia 'Komodo' dan Taman Reptilia,Umum,25000
Museum of Health and Medicine,Dewasa,25000
Museum of Health and Medicine,Anak - Anak,15000
Museum Graha Widya Patra (Minyak dan Gas Bumi),Umum,15000
Museum Hakka Indonesia,Umum,0
Museum Harry Darsono,Umum,185000
Museum Indonesia,Umum,15000
Museum Jenderal Besar Dr. A.H. Nasution,Umum,0
Museum Joang '45,Dewasa,5000
Museum Joang '45,Mahasiswa,3000
Museum Joang '45,Anak - Anak,2000
Museum Katedral,Umum,0
Museum Kebangkitan Nasional,Dewasa,2000
Museum Kebangkitan Nasional,Anak - Anak,1000
Museum Kebangkitan Nasional,Wisatawan Mancanegara,10000
Museum Kehutanan 'Ir. Djamaludin Suryohadikusumo',Umum,0
Museum Keprajuritan,Dewasa,4000
Museum Keprajuritan,Anak - Anak,2500
Museum Korps Marinir Jakarta,Umum,0
Museum Layang-layang,Umum,10000
Museum Listrik dan Energi Baru,Umum,10000
Museum MACAN (Modern and Contemporary Art in Nusantara),Dewasa,100000
Museum MACAN (Modern and Contemporary Art in Nusantara),Pelajar,90000
Museum MACAN (Modern and Contemporary Art in Nusantara),Anak - Anak,80000
Museum MACAN (Modern and Contemporary Art in Nusantara),Lansia,90000
Museum Mandiri,Dewasa,5000
Museum Mandiri,Anak - Anak,2000
Museum Mandiri,Nasabah,2000
Museum Mandiri,Wisatawan Mancanegara,10000
Museum MH. Thamrin,Anak - Anak,2000
Museum MH. Thamrin,Pelajar,2000
Museum MH. Thamrin,Mahasiswa,3000
Museum MH. Thamrin,Dewasa,5000
Museum Nasional Indonesia,Dewasa,5000
Museum Nasional Indonesia,Anak - Anak,2000
Museum Nasional Indonesia,Wisatawan Mancanegara,10000
Museum Olahraga Nasional,Dewasa,5000
Museum Olahraga Nasional,Umum,5000
Museum Olahraga Nasional,Pelajar,3000
Museum Olahraga Nasional,Mahasiswa,3000
Museum Pemadam Kebakaran,Umum,0
Museum Penerangan,Umum,0
Museum Perumusan Naskah Proklamasi,Dewasa,2000
Museum Perumusan Naskah Proklamasi,Anak - Anak,1000
Museum POLRI,Umum,0
Museum Prangko,Umum,5000
Museum Prasasti,Dewasa,5000
Museum Prasasti,Mahasiswa,3000
Museum Prasasti,Pelajar,2000
Museum Purna Bhakti Pertiwi,Anak - Anak,3000
Museum Purna Bhakti Pertiwi,Dewasa,5000
Museum Pusaka,Umum,10000
Museum Santa Maria Juanda,Umum,0
Museum Sasmitaloka Pahlawan Revolusi Jenderal TNI A. Yani,Umum,0
Museum Satriamandala,Dewasa,4000
Museum Satriamandala,Mahasiswa,2500
Museum Satriamandala,HUT TNI 5 Oktober,0
Museum Sejarah Jakarta,Dewasa,5000
Museum Sejarah Jakarta,Mahasiswa,3000
Museum Sejarah Jakarta,Anak - Anak,2000
Museum Seni Rupa dan Keramik,Dewasa,5000
Museum Seni Rupa dan Keramik,Umum,5000
Museum Seni Rupa dan Keramik,Mahasiswa,3000
Museum Seni Rupa dan Keramik,Pelajar,2000
Museum Seni Rupa dan Keramik,Anak - Anak,2000
Museum Serangga,Umum,25000
Museum Sumpah Pemuda,Dewasa,2000
Museum Sumpah Pemuda,Anak - Anak,1000
Museum Tekstil,Dewasa,5000
Museum Tekstil,Umum,5000
Museum Tekstil,Mahasiswa,3000
Museum Tekstil,Pelajar,2000
Museum Tekstil,Anak - Anak,2000
Museum Timor Timur,Umum,5000
Museum Tragedi 12 Mei ’98 Universitas Trisakti,Umum,0
Museum Transportasi,Masuk,5000
Museum Transportasi,Pesawat,3000
Museum Transportasi,Kereta,5000
Museum Wayang,Dewasa,5000
Museum Wayang,Mahasiswa,3000
Museum Wayang,Pelajar,2000
Museum Wayang,Anak - Anak,2000
Pusat Peragaan IPTEK,Umum,16500
