name,ticket_name_2,ticket_2,ticket_price_2
Art: 1 New Museum,,nan,nan
Bayt Al-Qur’an dan Museum Istiqlal,,nan,nan
Galeri Foto Jurnalistik Antara,,nan,nan
Galeri Nasional Indonesia,,nan,nan
Monumen Nasional,Pelataran Puncak,Dewasa,7500
Monumen Nasional,Pelataran Puncak,Anak - Anak,3500
Monumen Pancasila Sakti,Rombongan (Min. 40 Orang),Dewasa,3000
Monumen Pancasila Sakti,Rombongan (Min. 40 Orang),Anak - Anak,2000
Museum Alkitab,,nan,nan
Museum Al-Qur’an,,nan,nan
Museum Anatomi Universitas Katolik (Unika) Atmajaya,,nan,nan
Museum Asmat,,nan,nan
Museum Bahari,,nan,nan
Museum Bank Indonesia,,nan,nan
Museum Bank Tabungan Negara,,nan,nan
Museum Basoeki Abdullah,Rombongan,Dewasa,1000
Museum Basoeki Abdullah,Rombongan,Anak - Anak,500
Museum Basoeki Abdullah,Rombongan,Wisatawan Mancanegara,10000
Museum Benda-Benda Alkitab Yerushalayim,,nan,nan
Museum BNI 1946,,nan,nan
Museum Ciputra Artpreneur,,nan,nan
Museum Dharma Bhakti Kostrad,,nan,nan
Museum di Tengah Kebun,,nan,nan
Museum DPR RI,,nan,nan
Museum Fauna Indonesia “Komodo” dan Taman Reptilia,,nan,nan
Museum of Health and Medicine,,nan,nan
Museum Graha Widya Patra (Minyak dan Gas Bumi),,nan,nan
Museum Hakka Indonesia,,nan,nan
Museum Harry Darsono,,nan,nan
Museum Indonesia,,nan,nan
Museum Jenderal Besar Dr. A.H. Nasution,,nan,nan
Museum Joang ‘45,Rombongan,Dewasa,3750
Museum Joang ‘45,Rombongan,Mahasiswa,2250
Museum Joang ‘45,Rombongan,Pelajar,1500
Museum Katedral,,nan,nan
Museum Kebangkitan Nasional,,nan,nan
Museum Kehutanan “Ir. Djamaludin Suryohadikusumo”,,nan,nan
Museum Keprajuritan,,nan,nan
Museum Korps Marinir Jakarta,,nan,nan
Museum Layang-layang,,nan,nan
Museum Listrik dan Energi Baru,,nan,nan
Museum MACAN (Modern and Contemporary Art in Nusantara),,nan,nan
Museum Mandiri,,nan,nan
Museum MH. Thamrin,Rombongan,Anak - Anak,1500
Museum MH. Thamrin,Rombongan,Pelajar,1500
Museum MH. Thamrin,Rombongan,Mahasiswa,2250
Museum MH. Thamrin,Rombongan,Dewasa,3750
Museum Nasional Indonesia,,nan,nan
Museum Olahraga Nasional,Rombongan (min. 10 Orang),Dewasa,4000
Museum Olahraga Nasional,Rombongan (min. 10 Orang),Umum,4000
Museum Olahraga Nasional,Rombongan (min. 10 Orang),Pelajar,2000
Museum Olahraga Nasional,Rombongan (min. 10 Orang),Mahasiswa,2000
Museum Pemadam Kebakaran,,nan,nan
Museum Penerangan,,nan,nan
Museum Perumusan Naskah Proklamasi,Rombongan (min. 20 Orang),Dewasa,1000
Museum Perumusan Naskah Proklamasi,Rombongan (min. 20 Orang),Anak - Anak,500
Museum Perumusan Naskah Proklamasi,Rombongan (min. 20 Orang),Wisatawan Mancanegara,10000
Museum POLRI,,nan,nan
Museum Prangko,Rombongan,Dapat Potongan 10%,4500
Museum Prasasti,Rombongan,Dewasa,3750
Museum Prasasti,Rombongan,Mahasiswa,2250
Museum Prasasti,Rombongan,Pelajar,1500
Museum Purna Bhakti Pertiwi,,nan,nan
Museum Pusaka,,nan,nan
Museum Santa Maria Juanda,,nan,nan
Museum Sasmitaloka Pahlawan Revolusi Jenderal TNI A. Yani,,nan,nan
Museum Satriamandala,,nan,nan
Museum Sejarah Jakarta,,nan,nan
Museum Seni Rupa dan Keramik,Rombongan,Dewasa,3750
Museum Seni Rupa dan Keramik,Rombongan,Umum,3750
Museum Seni Rupa dan Keramik,Rombongan,Mahasiswa,2250
Museum Seni Rupa dan Keramik,Rombongan,Pelajar,1500
Museum Seni Rupa dan Keramik,Rombongan,Anak - Anak,1500
Museum Serangga,,nan,nan
Museum Sumpah Pemuda,Rombongan,Dewasa,1000
Museum Sumpah Pemuda,Rombongan,Anak - Anak,500
Museum Sumpah Pemuda,Rombongan,Wisatawan Mancanegara,10000
Museum Tekstil,Rombongan,Dewasa,3750
Museum Tekstil,Rombongan,Umum,3750
Museum Tekstil,Rombongan,Mahasiswa,2250
Museum Tekstil,Rombongan,Pelajar,1500
Museum Tekstil,Rombongan,Anak - Anak,1500
Museum Timor Timur,,nan,nan
Museum Tragedi 12 Mei ’98 Universitas Trisakti,,nan,nan
Museum Transportasi,,nan,nan
Museum Wayang,,nan,nan
Pusat Peragaan IPTEK,,nan,nan
