Timestamp,Rekomendasi yang diberikan chatbot memenuhi kebutuhan user berdasarkan preferensi yang diberikan user.,Percakapan dengan chatbot berjalan dengan baik tanpa ada kesalahan respons dari chatbot.,Chatbot dapat memahami tujuan / jawaban dari user.,Informasi museum yang diberikan sangat informatif dan membantu.,Bentuk informasi museum yang diberikan disajikan dengan baik.,Waktu yang dibutuhkan chatbot untuk membalas relatif cepat.,Akan lebih baik jika chatbot diimplementasikan pada platform chat seperti Whatsapp / Telegram.
12/18/2021 19:17:43,Setuju,Setuju,Setuju,Setuju,Setuju,Setuju,Setuju
12/18/2021 20:31:13,Bimbang,Setuju,Setuju,Setuju,Setuju,Bimbang,Setuju
12/18/2021 20:33:06,Bimbang,Bimbang,Setuju,Tidak Setuju,Bimbang,Tidak Setuju,Setuju
12/18/2021 20:46:05,Setuju,Setuju,Setuju,Sangat Setuju,Sangat Setuju,Setuju,Setuju
12/18/2021 20:55:36,Setuju,Setuju,Setuju,Setuju,Setuju,Setuju,Setuju
12/18/2021 21:00:26,Setuju,Setuju,Bimbang,Setuju,Setuju,Tidak Setuju,Sangat Setuju
12/18/2021 21:07:24,Setuju,Setuju,Sangat Setuju,Sangat Setuju,Setuju,Setuju,Sangat Setuju
12/18/2021 21:12:19,Setuju,Setuju,Setuju,Setuju,Setuju,Bimbang,Setuju
12/18/2021 21:13:42,Setuju,Setuju,Setuju,Setuju,Setuju,Setuju,Setuju
12/18/2021 22:39:21,Setuju,Setuju,Bimbang,Tidak Setuju,Setuju,Setuju,Sangat Setuju
12/18/2021 23:27:59,Setuju,Bimbang,Bimbang,Sangat Setuju,Sangat Setuju,Setuju,Sangat Setuju
12/18/2021 23:35:57,Setuju,Bimbang,Setuju,Setuju,Sangat Setuju,Bimbang,Setuju
12/19/2021 8:27:47,Setuju,Setuju,Setuju,Setuju,Tidak Setuju,Tidak Setuju,Setuju
12/19/2021 14:05:42,Setuju,Setuju,Setuju,Setuju,Sangat Setuju,Setuju,Sangat Setuju
12/19/2021 17:54:24,Sangat Setuju,Tidak Setuju,Setuju,Setuju,Bimbang,Setuju,Sangat Setuju
12/19/2021 18:24:50,Sangat Setuju,Setuju,Setuju,Setuju,Sangat Setuju,Sangat Setuju,Sangat Setuju
12/19/2021 18:35:57,Setuju,Sangat Setuju,Sangat Setuju,Setuju,Bimbang,Setuju,Sangat Setuju
12/19/2021 18:45:39,Sangat Setuju,Sangat Setuju,Sangat Setuju,Sangat Setuju,Sangat Setuju,Sangat Setuju,Setuju
12/19/2021 21:43:48,Sangat Setuju,Sangat Setuju,Sangat Setuju,Sangat Setuju,Sangat Setuju,Setuju,Setuju
12/20/2021 13:44:43,Setuju,Bimbang,Setuju,Setuju,Setuju,Bimbang,Sangat Setuju
12/20/2021 13:59:55,Sangat Setuju,Setuju,Sangat Setuju,Sangat Setuju,Sangat Setuju,Setuju,Sangat Setuju
12/20/2021 14:10:43,Setuju,Setuju,Setuju,Sangat Setuju,Sangat Setuju,Setuju,Sangat Setuju
12/20/2021 14:27:18,Setuju,Setuju,Sangat Setuju,Sangat Setuju,Sangat Setuju,Bimbang,Sangat Setuju
12/20/2021 14:29:35,Setuju,Sangat Setuju,Setuju,Setuju,Setuju,Bimbang,Setuju
12/20/2021 14:39:36,Setuju,Tidak Setuju,Bimbang,Setuju,Setuju,Tidak Setuju,Setuju
12/20/2021 16:34:08,Sangat Setuju,Setuju,Bimbang,Sangat Setuju,Sangat Setuju,Setuju,Sangat Setuju
12/20/2021 16:41:14,Sangat Setuju,Tidak Setuju,Setuju,Sangat Setuju,Sangat Setuju,Bimbang,Sangat Setuju
12/20/2021 17:03:03,Setuju,Sangat Setuju,Sangat Setuju,Sangat Setuju,Sangat Setuju,Setuju,Sangat Setuju
12/20/2021 17:24:23,Setuju,Setuju,Setuju,Setuju,Setuju,Bimbang,Sangat Setuju
12/20/2021 18:57:55,Setuju,Tidak Setuju,Setuju,Setuju,Bimbang,Sangat Setuju,Setuju
12/20/2021 19:07:21,Setuju,Setuju,Setuju,Setuju,Setuju,Setuju,Setuju
12/20/2021 19:10:37,Setuju,Setuju,Setuju,Sangat Setuju,Sangat Setuju,Setuju,Sangat Setuju
12/20/2021 19:18:37,Setuju,Setuju,Setuju,Setuju,Setuju,Setuju,Setuju
12/20/2021 20:28:06,Sangat Setuju,Setuju,Setuju,Sangat Setuju,Setuju,Setuju,Sangat Setuju
12/21/2021 15:47:26,Sangat Setuju,Setuju,Setuju,Sangat Setuju,Sangat Setuju,Bimbang,Sangat Setuju
12/21/2021 16:21:15,Setuju,Setuju,Sangat Setuju,Bimbang,Setuju,Sangat Setuju,Sangat Setuju
12/21/2021 22:20:11,Setuju,Sangat Setuju,Sangat Setuju,Setuju,Setuju,Setuju,Sangat Setuju
12/22/2021 0:03:59,Bimbang,Bimbang,Bimbang,Bimbang,Bimbang,Bimbang,Bimbang
12/23/2021 14:40:03,Sangat Setuju,Sangat Setuju,Sangat Setuju,Sangat Setuju,Bimbang,Setuju,Sangat Setuju
12/24/2021 15:42:51,Setuju,Setuju,Sangat Setuju,Tidak Setuju,Bimbang,Sangat Setuju,Setuju
